sensitive_energy,background_energy,total_energy,sensitive_pixels,background_pixels,sensitive_density,background_density,dilution_ratio,waste_percentage,image_id
156.0130615234375,1522.069091796875,1678.082275390625,11289.0,101607.0,0.013819918639675728,0.014979962913940234,9.756036301298128,90.70288829750595,01-Illegal_Activitiy/40
193.5738525390625,1697.96337890625,1891.537109375,11289.0,101607.0,0.01714712131622739,0.016711086626965493,8.771656690956702,89.76632657544388,01-Illegal_Activitiy/43
185.04312133789062,1740.6900634765625,1925.733154296875,11289.0,101607.0,0.016391453745923174,0.017131595888830408,9.406942829309365,90.39103157067913,01-Illegal_Activitiy/45
154.26666259765625,1521.12939453125,1675.39599609375,11289.0,101607.0,0.013665219470061085,0.014970714562294924,9.86038959305104,90.79223049766995,01-Illegal_Activitiy/46
182.76077270507812,1638.97509765625,1821.73583984375,11289.0,101607.0,0.01618927918371124,0.016130533306328194,8.967871350661188,89.96776930006646,01-Illegal_Activitiy/48
180.00262451171875,1649.4639892578125,1829.466552734375,11289.0,101607.0,0.015944957437466496,0.016233763316086985,9.163555218378448,90.16092624286892,01-Illegal_Activitiy/49
183.23789978027344,1634.509765625,1817.74755859375,11289.0,101607.0,0.016231543961388175,0.01608658621576111,8.920151166848084,89.91951373492705,01-Illegal_Activitiy/5
188.7372589111328,1630.97509765625,1819.7122802734375,11289.0,101607.0,0.016718687121176863,0.01605179857348499,8.641510992473307,89.62818547348651,01-Illegal_Activitiy/51
189.30979919433594,1646.2509765625,1835.560791015625,11289.0,101607.0,0.016769403773068316,0.016202141354063577,8.696068473378817,89.68654073519693,01-Illegal_Activitiy/53
185.7620849609375,1678.2352294921875,1863.997314453125,11289.0,101607.0,0.01645514084159562,0.01651692530526462,9.034325975371926,90.0342085511834,01-Illegal_Activitiy/55
184.51242065429688,1637.29931640625,1821.811767578125,11289.0,101607.0,0.016344443321298027,0.016114040532700394,8.87365365708991,89.87203538452555,01-Illegal_Activitiy/56
180.58822631835938,1602.386962890625,1782.9749755859375,11289.0,101607.0,0.015996831102683975,0.015770438679327873,8.873153003768042,89.87153408336799,01-Illegal_Activitiy/57
180.188232421875,1635.0797119140625,1815.267822265625,11289.0,101607.0,0.015961398921225563,0.01609219553686165,9.074286871270843,90.07374514380594,01-Illegal_Activitiy/60
186.90982055664062,1640.6273193359375,1827.537109375,11289.0,101607.0,0.016556809332666757,0.016146794210396685,8.777641080399999,89.7725857883148,01-Illegal_Activitiy/66
154.9307098388672,1516.976318359375,1671.9071044921875,11289.0,101607.0,0.013724041973490118,0.014929840644436167,9.791321035314205,90.7332898026686,01-Illegal_Activitiy/67
187.61306762695312,1674.3868408203125,1862.0,11289.0,101607.0,0.016619104227724946,0.01647905007352001,8.92468132369324,89.92410530673041,01-Illegal_Activitiy/73
181.46405029296875,1616.4456787109375,1797.90966796875,11289.0,101607.0,0.016074413171477366,0.015908802333606725,8.907801165091113,89.9069462443117,01-Illegal_Activitiy/77
180.32418823242188,1619.7882080078125,1800.1123046875,11289.0,101607.0,0.015973442132364436,0.015941698977507978,8.982645222449152,89.98261962772428,01-Illegal_Activitiy/79
187.51373291015625,1656.7841796875,1844.2979736328125,11289.0,101607.0,0.0166103049791824,0.016305807470817335,8.835535157272785,89.83278208645756,01-Illegal_Activitiy/80
153.72024536132812,1539.49267578125,1693.2130126953125,11289.0,101607.0,0.01361681684482168,0.01515144306771284,10.014898636561739,90.92138226138144,01-Illegal_Activitiy/81
181.56077575683594,1630.6011962890625,1812.161865234375,11289.0,101607.0,0.016082981287684924,0.01604811869545309,8.981021310368897,89.98099052642694,01-Illegal_Activitiy/82
153.17645263671875,1535.0926513671875,1688.2691650390625,11289.0,101607.0,0.013568646703568346,0.015108138724369743,10.021727392445076,90.92700874641494,01-Illegal_Activitiy/86
