image_id,threshold_pct,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14,triple_iou
01-Illegal_Activitiy/20,20.0,0.20024453103542328,0.2161477953195572,0.07904420793056488,0.044351447373628616
01-Illegal_Activitiy/20,30.0,0.2487509846687317,0.2972765862941742,0.11490412056446075,0.070563405752182
01-Illegal_Activitiy/21,5.0,0.09677419066429138,0.012921751476824284,0.019877122715115547,0.003647066419944167
01-Illegal_Activitiy/21,10.0,0.2023644745349884,0.026599371805787086,0.04843278229236603,0.006497816648334265
01-Illegal_Activitiy/21,15.0,0.2739514708518982,0.05603192746639252,0.07987118512392044,0.023748476058244705
01-Illegal_Activitiy/21,20.0,0.3035621643066406,0.1051613986492157,0.11286903917789459,0.04045095294713974
01-Illegal_Activitiy/21,30.0,0.3334055244922638,0.2106740027666092,0.19545727968215942,0.08889085799455643
01-Illegal_Activitiy/22,5.0,0.08569779992103577,0.03883673995733261,0.0005318205803632736,0.0
01-Illegal_Activitiy/22,10.0,0.14134061336517334,0.11799950152635574,0.01923076994717121,0.006084051448851824
01-Illegal_Activitiy/22,15.0,0.1527569741010666,0.1381523609161377,0.048090610653162,0.011622535064816475
01-Illegal_Activitiy/22,20.0,0.16102327406406403,0.17357519268989563,0.06910675019025803,0.017909204587340355
01-Illegal_Activitiy/22,30.0,0.20052461326122284,0.25599852204322815,0.11711058020591736,0.043520815670490265
01-Illegal_Activitiy/23,5.0,0.008127177134156227,0.08862956613302231,0.0,0.0
01-Illegal_Activitiy/23,10.0,0.05150894075632095,0.09522192925214767,0.0,0.0
01-Illegal_Activitiy/23,15.0,0.08464371412992477,0.09854038059711456,0.007047069724649191,0.0
01-Illegal_Activitiy/23,20.0,0.11600147932767868,0.12068495154380798,0.019758829846978188,0.002471800660714507
01-Illegal_Activitiy/23,30.0,0.190439373254776,0.18626970052719116,0.06553405523300171,0.01940130814909935
01-Illegal_Activitiy/24,5.0,0.02814463898539543,0.001241795253008604,0.006688665132969618,0.0
01-Illegal_Activitiy/24,10.0,0.054652467370033264,0.03682953864336014,0.05028608813881874,9.734886407386512e-05
01-Illegal_Activitiy/24,15.0,0.0870458334684372,0.06714560091495514,0.07750063389539719,0.003981966525316238
01-Illegal_Activitiy/24,20.0,0.1230260357260704,0.10381071269512177,0.09415584057569504,0.011019432917237282
01-Illegal_Activitiy/24,30.0,0.18599969148635864,0.1782018095254898,0.14892461895942688,0.03414765000343323
01-Illegal_Activitiy/26,5.0,0.028706826269626617,0.032848384231328964,0.0,0.0
01-Illegal_Activitiy/26,10.0,0.07055476307868958,0.08757225424051285,0.011015582829713821,0.0001649076584726572
01-Illegal_Activitiy/26,15.0,0.1334671974182129,0.14527255296707153,0.03518048673868179,0.011328601278364658
01-Illegal_Activitiy/26,20.0,0.17141374945640564,0.1751938760280609,0.06941056996583939,0.030772127211093903
01-Illegal_Activitiy/26,30.0,0.22196565568447113,0.22834759950637817,0.12477167695760727,0.05212400108575821
01-Illegal_Activitiy/27,5.0,0.014651685021817684,0.04489493742585182,0.06772606819868088,0.00012845215678680688
01-Illegal_Activitiy/27,10.0,0.06525123864412308,0.08407355844974518,0.10357300192117691,0.004938099998980761
01-Illegal_Activitiy/27,15.0,0.07828966528177261,0.11834631860256195,0.11779266595840454,0.005624894518405199
01-Illegal_Activitiy/27,20.0,0.09665355086326599,0.14829882979393005,0.1404111385345459,0.009645390324294567
01-Illegal_Activitiy/27,30.0,0.1858128160238266,0.2173319160938263,0.21939188241958618,0.06483493745326996
01-Illegal_Activitiy/29,5.0,0.03209289535880089,0.08050157874822617,0.013649425469338894,0.0
01-Illegal_Activitiy/29,10.0,0.05840989947319031,0.12681539356708527,0.028704209253191948,0.0
01-Illegal_Activitiy/29,15.0,0.0866621732711792,0.1591881364583969,0.049064550548791885,0.003404032438993454
01-Illegal_Activitiy/29,20.0,0.10893374681472778,0.18890029191970825,0.08769901841878891,0.015216901898384094
01-Illegal_Activitiy/29,30.0,0.18814243376255035,0.2760394215583801,0.19039753079414368,0.06455996632575989
01-Illegal_Activitiy/3,5.0,0.022185999900102615,0.06570997089147568,0.0,0.0
01-Illegal_Activitiy/3,10.0,0.07238529622554779,0.1747138351202011,0.0031100052874535322,0.0018640615744516253
01-Illegal_Activitiy/3,15.0,0.08749959617853165,0.24835975468158722,0.019782602787017822,0.009133643470704556
01-Illegal_Activitiy/3,20.0,0.11254003643989563,0.2802063822746277,0.04765218868851662,0.01837516762316227
01-Illegal_Activitiy/3,30.0,0.1751561462879181,0.31413936614990234,0.11786645650863647,0.04597041755914688
01-Illegal_Activitiy/34,5.0,0.07341194152832031,0.05318156257271767,0.0,0.0
01-Illegal_Activitiy/34,10.0,0.07791464030742645,0.10883017629384995,0.010472609661519527,0.0015085483901202679
01-Illegal_Activitiy/34,15.0,0.10064671188592911,0.15244317054748535,0.028578370809555054,0.006834996864199638
01-Illegal_Activitiy/34,20.0,0.15198980271816254,0.20302635431289673,0.04913691058754921,0.01701798103749752
01-Illegal_Activitiy/34,30.0,0.22519263625144958,0.27589520812034607,0.09955684095621109,0.04211263731122017
01-Illegal_Activitiy/40,5.0,0.028425656259059906,0.025715583935379982,0.01960075832903385,0.0
01-Illegal_Activitiy/40,10.0,0.044745732098817825,0.1054641604423523,0.04031700640916824,0.0
01-Illegal_Activitiy/40,15.0,0.0685259997844696,0.1370442509651184,0.06936945766210556,0.0015089001972228289
01-Illegal_Activitiy/40,20.0,0.10868871212005615,0.16575883328914642,0.09016729891300201,0.011309103108942509
01-Illegal_Activitiy/40,30.0,0.17797641456127167,0.25933775305747986,0.16519016027450562,0.04695119336247444
01-Illegal_Activitiy/43,5.0,0.016845328733325005,0.014378145337104797,0.02889435738325119,0.0
01-Illegal_Activitiy/43,10.0,0.05855876952409744,0.017485354095697403,0.03034728206694126,9.503294131718576e-05
01-Illegal_Activitiy/43,15.0,0.1287452131509781,0.04411628842353821,0.04424506053328514,0.00404501473531127
01-Illegal_Activitiy/43,20.0,0.18723873794078827,0.07156755775213242,0.06494516879320145,0.0111067034304142
01-Illegal_Activitiy/43,30.0,0.24138183891773224,0.16519016027450562,0.12714868783950806,0.03672381490468979
01-Illegal_Activitiy/45,5.0,0.006419400684535503,0.002753842156380415,0.0,0.0
01-Illegal_Activitiy/45,10.0,0.04882241040468216,0.0119218360632658,0.026086166501045227,0.006740595679730177
01-Illegal_Activitiy/45,15.0,0.10466746985912323,0.020673859864473343,0.04485715925693512,0.009479602798819542
01-Illegal_Activitiy/45,20.0,0.1536378562450409,0.045493483543395996,0.06920800358057022,0.015724848955869675
