image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
02-HateSpeech/121,"{'spearman': 0.12308022145175551, 'cosine': 0.7619686454378746}","{'spearman': 0.12849923729377188, 'cosine': 0.7311130598475042}","{'spearman': -0.10993327476341823, 'cosine': 0.627502804302088}"
02-HateSpeech/123,"{'spearman': -0.035520704141374294, 'cosine': 0.8013728021254393}","{'spearman': 0.37534438115537183, 'cosine': 0.5557188975922183}","{'spearman': -0.23224631684606473, 'cosine': 0.4822186156292139}"
02-HateSpeech/126,"{'spearman': 0.07556710935571824, 'cosine': 0.8389027850503484}","{'spearman': 0.2394269953051031, 'cosine': 0.617570569929555}","{'spearman': -0.2915377248347586, 'cosine': 0.5871519052659298}"
02-HateSpeech/128,"{'spearman': 0.06190140792100435, 'cosine': 0.787898265564901}","{'spearman': 0.20667280292971874, 'cosine': 0.8199922055001172}","{'spearman': 0.23158238912602808, 'cosine': 0.8069322033493647}"
02-HateSpeech/130,"{'spearman': 0.14984618178948864, 'cosine': 0.7650862809388742}","{'spearman': 0.2284425295171799, 'cosine': 0.8128601404865112}","{'spearman': 0.07232360855156153, 'cosine': 0.7658654653910723}"
02-HateSpeech/133,"{'spearman': 0.14866447822751727, 'cosine': 0.7181841510316956}","{'spearman': 0.06594315062487464, 'cosine': 0.7860357329759015}","{'spearman': -0.048715276645488706, 'cosine': 0.6676834678019585}"
02-HateSpeech/135,"{'spearman': 0.051518948650088485, 'cosine': 0.7286451930535882}","{'spearman': 0.19371654577961325, 'cosine': 0.7883280938984749}","{'spearman': 0.2776525017512843, 'cosine': 0.741238265727299}"
02-HateSpeech/136,"{'spearman': 0.1366329884692162, 'cosine': 0.8655832201034508}","{'spearman': 0.2588547293167018, 'cosine': 0.7543580848698693}","{'spearman': 0.008333149575609688, 'cosine': 0.7402319532323179}"
02-HateSpeech/140,"{'spearman': 0.03248167910570999, 'cosine': 0.7364921251882077}","{'spearman': 0.14054918332385133, 'cosine': 0.7828644030409833}","{'spearman': 0.18733425952171562, 'cosine': 0.7406263868928258}"
02-HateSpeech/159,"{'spearman': 0.036213705237238526, 'cosine': 0.764749893245368}","{'spearman': 0.17219091099277734, 'cosine': 0.8072406333101454}","{'spearman': 0.2606779261991054, 'cosine': 0.7740924527569043}"
